Gender,Count,Actual_Default_Rate_Pct,Approval_Rate_Before_Pct,Approval_Rate_After_Pct,AUC,EO_Before,EO_After,DI_Ratio
Female,40561,6.99,99.71,99.73,0.7292,0.0091,0.0122,0.9977
Male,20940,10.17,99.49,99.51,0.733,0.0091,0.0122,0.9977
