FPR_LR,TPR_LR,FPR_XGB,TPR_XGB,Random
0.3273,0.6806,0.3487,0.6935,0.6482
0.3318,0.6854,0.3524,0.6983,0.6533
0.3378,0.69,0.3591,0.7029,0.6583
0.343,0.6947,0.3624,0.708,0.6633
0.3482,0.6999,0.3681,0.7124,0.6683
0.3525,0.7051,0.3735,0.717,0.6734
0.358,0.7098,0.3773,0.721,0.6784
0.3641,0.7144,0.3805,0.7253,0.6834
0.3696,0.719,0.3842,0.7295,0.6884
0.3743,0.7235,0.3886,0.7343,0.6935
0.379,0.7279,0.3945,0.7388,0.6985
0.3829,0.7323,0.3996,0.7438,0.7035
0.3879,0.737,0.4052,0.748,0.7085
0.3931,0.742,0.4102,0.7525,0.7136
0.3992,0.7466,0.4166,0.7569,0.7186
0.4058,0.7513,0.4216,0.7613,0.7236
0.4108,0.7561,0.4252,0.7662,0.7286
0.4186,0.7603,0.4301,0.7708,0.7337
0.4231,0.7652,0.4375,0.7748,0.7387
0.4319,0.7696,0.4428,0.7787,0.7437
0.4387,0.7738,0.4486,0.7835,0.7487
0.4453,0.7789,0.4537,0.7877,0.7538
0.4529,0.7831,0.4615,0.7925,0.7588
0.4579,0.7877,0.4688,0.7972,0.7638
0.462,0.7927,0.4753,0.8014,0.7688
0.4693,0.7972,0.4821,0.806,0.7739
0.4747,0.8018,0.4878,0.8107,0.7789
0.4807,0.8064,0.4947,0.8149,0.7839
0.4859,0.8111,0.503,0.8199,0.7889
0.4917,0.8155,0.5108,0.8244,0.794
0.4976,0.8197,0.5201,0.8288,0.799
0.5071,0.824,0.5282,0.833,0.804
0.515,0.8286,0.5349,0.8373,0.809
0.522,0.8328,0.5414,0.8415,0.8141
0.5297,0.8375,0.5492,0.8459,0.8191
0.5385,0.8419,0.5578,0.8504,0.8241
0.5461,0.8465,0.5654,0.856,0.8291
0.5536,0.8512,0.5738,0.8602,0.8342
0.5622,0.8556,0.5793,0.8645,0.8392
0.5687,0.86,0.5877,0.8683,0.8442
0.5745,0.8651,0.5973,0.8723,0.8492
